"Nutrient Modeling (Hypoxia Task Force Search)"
"Search Criteria: Year = 2020; EPA Region = 10; Include all nitrogen loads; Include all phosphorus loads"

"Year","NPDES Permit Number","FRS ID","SIC Code","NAICS Code","Facility Name","City","State","ZIP Code","County","FIPS Code","EPA Region","Facility Type Indicator","Permit Type","Major/Non-Major Status","HUC 12 Code","Total Facility Design Flow (MGD)","Actual Average Facility Flow (MGD)","Facility Latitude","Facility Longitude","Nutrient Type","Total Pounds (lb/yr)","Total Annual Flow (MGal/yr)","Max Allowable Load (kg/yr)","Load Over Limit","Avg Concentration","Data Source for Concentration","Data Source for Flow","Discharges to Impaired Water Bodies","Discharges Pollutants Contributing to Water Body Impairment"
2020,"AK0000272","110000507693","2091","311710","ALYESKA SEAFOOD UNALASKA PROCESSING FACILITY","UNALASKA","AK","99685","ALEUTIANS WEST","","10","NON-POTW","NPDES Individual Permit","Major","",,,"53.878409","-166.539921","Nitrogen",394079.492304568894876814315969351029053,645.31,32839.9576920474079064011929974459190877,,36.71703790890172076404501069823777218833,"Modeled","DMR Data","",""
2020,"AK0000272","110000507693","2091","311710","ALYESKA SEAFOOD UNALASKA PROCESSING FACILITY","UNALASKA","AK","99685","ALEUTIANS WEST","","10","NON-POTW","NPDES Individual Permit","Major","",,,"53.878409","-166.539921","Phosphorus",25350.6069786389161793616611266799420695,645.31,2112.550581553243014946805093889995172457,,3.80201102301542999790129399289045125884,"Modeled","DMR Data","",""
2020,"AK0000507","110030488620","2873","325311","AGRIUM KENAI NITROGEN OPERATIONS","KENAI","AK","99611","KENAI PENINSULA","02122","10","NON-POTW","NPDES Individual Permit","Major","",,,"60.674444","-151.379167","Nitrogen",0,0,1712214.99999999987423780825,0,0,"DMR Data","DMR Data","",""
2020,"AK0000507","110030488620","2873","325311","AGRIUM KENAI NITROGEN OPERATIONS","KENAI","AK","99611","KENAI PENINSULA","02122","10","NON-POTW","NPDES Individual Permit","Major","",,,"60.674444","-151.379167","Phosphorus",0,0,,,.8902764053219250064670367181707297966475,"Modeled","DMR Data","",""
2020,"AK0000841","110007919547","2911","324110","TESORO ALASKA NIKISKI TERMINAL","KENAI","AK","99611","KENAI PENINSULA","02122","10","NON-POTW","NPDES Individual Permit","Major","",,,"60.679316","-151.387825","Nitrogen",10309.1166237547278766465500469446320071,102.768,859.093051979560656387212503912052667258,,12.09421231155145933093882934488293558375,"Modeled","DMR Data","",""
2020,"AK0000841","110007919547","2911","324110","TESORO ALASKA NIKISKI TERMINAL","KENAI","AK","99611","KENAI PENINSULA","02122","10","NON-POTW","NPDES Individual Permit","Major","",,,"60.679316","-151.387825","Phosphorus",2163.70793965175286774124186789735474925,102.768,180.308994970979405645103488991446229104,,2.52396055429978792584577820419161788913,"Modeled","DMR Data","",""
2020,"AK0020010","110010622978","4952","221320","SKAGWAY WWTP","SKAGWAY","AK","99840","SKAGWAY","02232","10","POTW","NPDES Individual Permit","Major","",.63,,"59.453964","-135.322514","Nitrogen",10110.99908981862,83.9214,842.583257484885,,14.436,"Modeled","DMR Data","",""
2020,"AK0020010","110010622978","4952","221320","SKAGWAY WWTP","SKAGWAY","AK","99840","SKAGWAY","02232","10","POTW","NPDES Individual Permit","Major","",.63,,"59.453964","-135.322514","Phosphorus",1696.37294233449,83.9214,141.3644118612075,,2.422,"Modeled","DMR Data","",""
2020,"AK0020036","110063646390","4952","","SOLDOTNA WWTP","SOLDOTNA","AK","99669","KENAI PENINSULA","02122","10","POTW","NPDES Individual Permit","Major","",1.02,,"60.483458","-151.08804","Nitrogen",29071.6191426402,244.809,2422.63492855335,,14.2955,"Modeled","DMR Data","",""
2020,"AK0020036","110063646390","4952","","SOLDOTNA WWTP","SOLDOTNA","AK","99669","KENAI PENINSULA","02122","10","POTW","NPDES Individual Permit","Major","",1.02,,"60.483458","-151.08804","Phosphorus",4992.9774064884,244.809,416.0814505407,,2.43675,"Modeled","DMR Data","",""
