"Nutrient Modeling (Hypoxia Task Force Search)"
"Search Criteria: Year = 2020; EPA Region = 05; Include all nitrogen loads; Include all phosphorus loads"

"Year","NPDES Permit Number","FRS ID","SIC Code","NAICS Code","Facility Name","City","State","ZIP Code","County","FIPS Code","EPA Region","Facility Type Indicator","Permit Type","Major/Non-Major Status","HUC 12 Code","Total Facility Design Flow (MGD)","Actual Average Facility Flow (MGD)","Facility Latitude","Facility Longitude","Nutrient Type","Total Pounds (lb/yr)","Total Annual Flow (MGal/yr)","Max Allowable Load (kg/yr)","Load Over Limit","Avg Concentration","Data Source for Concentration","Data Source for Flow","Discharges to Impaired Water Bodies","Discharges Pollutants Contributing to Water Body Impairment"
2020,"IL0000141","110000746211","2869","","EQUISTAR CHEMICALS LP TUSCOLA PLANT","TUSCOLA","IL","61953","DOUGLAS","17041","05","NON-POTW","NPDES Individual Permit","Major","071402010206",,,"39.795812","-88.347946","Nitrogen",11036.914617393,758.3156,,0,2.3,"DMR Data","DMR Data","Y",""
2020,"IL0000141","110000746211","2869","","EQUISTAR CHEMICALS LP TUSCOLA PLANT","TUSCOLA","IL","61953","DOUGLAS","17041","05","NON-POTW","NPDES Individual Permit","Major","071402010206",,,"39.795812","-88.347946","Phosphorus",1652.9233991256,758.3156,,0,.345,"DMR Data","DMR Data","Y",""
2020,"IL0000205","110041962873","2911","","CONOCOPHILLIPS CO","HARTFORD","IL","62048","MADISON COUNTY","17119","05","NON-POTW","NPDES Individual Permit","Major","071100090403",,,"38.840401","-90.070774","Nitrogen",383858.3014875,5016.9,,0,38.80833333333333333333333333333333333333,"DMR Data","DMR Data","Y",""
2020,"IL0000205","110041962873","2911","","CONOCOPHILLIPS CO","HARTFORD","IL","62048","MADISON COUNTY","17119","05","NON-POTW","NPDES Individual Permit","Major","071100090403",,,"38.840401","-90.070774","Phosphorus",11697.299999999999140833315,5016.9,23724.99999999999825739875,0,.2006838382018563714779122467391037970384,"DMR Data","DMR Data","Y",""
2020,"IL0000329","110018406679","3312","","US STEEL GRANITE CITY","GRANITE CITY","IL","62040","MADISON","17119","05","NON-POTW","NPDES Individual Permit","Major","071401010402",,25,"38.6954","-90.1367","Nitrogen",151600.5363591089031391189688587892637783,5848.29,12633.3780299257419282599140715657719815,,3.07687603850777100936686223177133777273,"Modeled","DMR Data","Y","Y"
2020,"IL0000329","110018406679","3312","","US STEEL GRANITE CITY","GRANITE CITY","IL","62040","MADISON","17119","05","NON-POTW","NPDES Individual Permit","Major","071401010402",,25,"38.6954","-90.1367","Phosphorus",6236.58300953625,5848.29,,0,.1331666666666666666666666666666666666667,"DMR Data","DMR Data","Y","Y"
2020,"IL0000621","110000548827","2821","","CELANESE LTD-MEREDOSIA FACILITY","MEREDOSIA","IL","62665-7261","MORGAN","17137","05","NON-POTW","NPDES Individual Permit","Major","071300110304",,,"39.812936","-90.569141","Nitrogen",426.479806365319145834861170212765957447,8.948,35.53998386377659548623843085106382978725,,4.29855588789545951288464158127270307873,"Modeled","DMR Data","Y",""
2020,"IL0000621","110000548827","2821","","CELANESE LTD-MEREDOSIA FACILITY","MEREDOSIA","IL","62665-7261","MORGAN","17137","05","NON-POTW","NPDES Individual Permit","Major","071300110304",,,"39.812936","-90.569141","Phosphorus",22.75540096126464410471529681397072225392,8.948,1.89628341343872034205960806783089352116,,.2190334814634230601510817289473266279583,"Modeled","DMR Data","Y",""
2020,"IL0000647","110000438866","2819","","CHEMTRADE SOLUTIONS LLC","FAIRMONT CITY","IL","62201-2446","ST. CLAIR","17163","05","NON-POTW","NPDES Individual Permit","Non-Major","071401010403",,.031,"38.6447","-90.09","Nitrogen",0,0,,,1.96261984681375581927336042109781779838,"Modeled","DMR Data","Y","Y"
2020,"IL0000647","110000438866","2819","","CHEMTRADE SOLUTIONS LLC","FAIRMONT CITY","IL","62201-2446","ST. CLAIR","17163","05","NON-POTW","NPDES Individual Permit","Non-Major","071401010403",,.031,"38.6447","-90.09","Phosphorus",0,0,,,.65960436729698199697191801252823113308,"Modeled","DMR Data","Y","Y"
